row_id,b0,b1,b2,b3,b4,raw_val
0,0.07707404852989493,0.05595172946412129,0.03450382344982183,0.035707717340283586,0.03922681081064478,15240|16743|0|55|68|44|52|55|50|55|69|67|46|42|51|46|31|38|53|46|38|58|55|44|51|68|71|55|54|53|51|48|46|53|50|52|63|51|56|0|3|2|0|0|0|0|18|0|0|0|0|0|65.88294147|63.91445723|63.02151076|64.3931966|66.74537269
1,0.06706551770435465,0.0442899248596929,0.048733522349381546,0.03208533822163291,0.0308138415774938,15304|16743|0|55|53|54|54|55|30|56|28|33|4|5|41|9|8|18|29|10|13|27|25|12|14|25|25|50|18|33|10|14|8|13|12|50|27|56|16|0|2|1|0|0|0|0|17|0|0|0|0|0|53|54|54|56|55
2,0.11900968709227781,0.08619091240123615,0.11911847890901635,0.06998207559176307,0.08871743253876199,16781|1888|0|75|79|34|60|62|73|57|79|79|44|25|60|25|20|45|42|75|44|67|51|63|52|72|80|73|68|57|73|64|76|73|72|67|72|48|59|0|3|3|0|0|0|0|30|0|0|0|0|0|65.88294147|63.91445723|63.02151076|64.3931966|66.74537269
3,0.18515115281650057,0.20024318815121897,0.21637188245793434,0.26095870143756367,0.250723238199568,1478|1888|0|75|41|49|62|59|76|74|40|42|29|50|58|46|40|48|60|57|33|69|69|53|57|50|50|73|63|69|76|79|75|76|74|79|49|85|77|0|3|2|0|0|0|0|31|0|0|0|0|0|65.88294147|63.91445723|63.02151076|64.3931966|66.74537269
4,0.06022833969300107,0.034937608101038145,0.044868475472905546,0.030343088997113722,0.0313020274709015,15431|16962|0|54|61|55|53|52|27|50|31|20|6|7|40|8|5|18|28|14|13|29|26|13|6|21|21|39|13|36|8|11|7|13|10|54|28|65|24|0|3|1|0|0|0|0|20|0|0|0|0|0|61|55|53|50|52
5,0.14583539084260735,0.07829665785112518,0.13817269644798502,0.07922177115105565,0.09966809468701764,6353|6884|0|68|73|57|70|72|61|67|76|71|65|51|62|63|56|55|70|65|65|74|69|63|73|78|82|66|67|73|51|42|71|66|57|62|78|66|58|0|3|2|0|0|0|0|24|0|0|0|0|0|65.88294147|63.91445723|63.02151076|64.3931966|66.74537269
6,0.18826094494066875,0.11419744975061574,0.0994470642244615,0.07268753023433114,0.09113460599168963,15991|17535|0|50|64|56|41|52|21|52|69|60|48|56|62|50|60|53|50|40|38|38|35|50|53|64|54|36|50|42|16|50|19|18|16|61|44|60|39|0|3|2|0|0|0|0|25|0|0|0|0|0|65.88294147|63.91445723|63.02151076|64.3931966|66.74537269
7,0.0688390731566441,0.12110344683498998,0.15181119454015193,0.13290596446775937,0.21438857616848372,1553|1888|0|75|76|41|53|51|73|79|65|85|41|38|56|34|39|36|56|26|50|70|54|38|44|44|41|71|62|58|72|80|70|76|71|87|65|85|77|0|3|2|0|0|0|0|23|0|0|0|0|0|65.88294147|63.91445723|63.02151076|64.3931966|66.74537269
8,0.1619791283237897,0.10281242131414527,0.07434380476628358,0.07788140959007236,0.08774110366351028,8346|9009|0|66|63|53|67|67|53|49|69|58|65|44|71|55|51|48|65|56|49|75|72|56|70|59|70|62|68|54|45|57|49|60|57|52|62|38|58|0|3|3|0|0|0|0|24|0|0|0|0|0|65.88294147|63.91445723|63.02151076|64.3931966|66.74537269
9,0.1432355260732053,0.12067879601388834,0.09526727969868228,0.09144808625117856,0.07144113322724416,8545|9009|0|66|68|50|60|68|60|68|73|64|55|47|59|49|50|49|65|59|36|62|55|60|63|83|91|67|68|65|67|34|62|60|61|51|91|53|80|0|3|3|0|0|0|0|26|0|0|0|0|0|65.88294147|63.91445723|63.02151076|64.3931966|66.74537269
