dataset,near,xploit,xplor,bore,random
7z,0,0,0,0,0
A2C_Acrobot,68,85,73,89,75
A2C_CartPole,72,64,60,42,55
Apache_AllMeasurements,52,67,30,65,50
BDBC,0,0,0,0,0
BankChurners,81,85,90,81,90
Car_price_cleaned,100,91,62,77,74
Data_COVID19_Indonesia,93,47,23,48,28
FFM-1000-200-0.50-SAT-1,100,100,100,100,100
FFM-125-25-0.50-SAT-1,98,81,65,70,79
FFM-250-50-0.50-SAT-1,98,98,99,100,100
FFM-500-100-0.50-SAT-1,93,62,85,51,75
FM-500-100-0.25-SAT-1,99,98,92,96,96
FM-500-100-0.50-SAT-1,94,82,100,87,83
FM-500-100-0.75-SAT-1,97,45,89,36,79
FM-500-100-1.00-SAT-1,98,91,93,75,71
HSMGP_num,0,0,0,0,0
HSQLDB,57,0,5,0,20
Health-ClosedIssues0000,76,64,64,25,54
Health-ClosedIssues0001,34,0,0,0,1
Health-ClosedIssues0002,66,0,0,0,0
Health-ClosedIssues0003,0,0,0,0,0
Health-ClosedIssues0004,25,0,5,0,0
Health-ClosedIssues0005,52,0,0,0,0
Health-ClosedIssues0006,4,0,2,0,2
Health-ClosedIssues0007,100,100,100,100,100
Health-ClosedIssues0008,68,30,14,14,13
Health-ClosedIssues0009,76,10,84,0,67
Health-ClosedIssues0010,100,100,100,100,100
Health-ClosedIssues0011,66,0,1,0,0
Health-ClosedPRs0000,100,0,0,0,0
Health-ClosedPRs0002,66,0,0,0,0
Health-ClosedPRs0003,66,0,0,0,0
Health-ClosedPRs0004,81,40,85,47,60
Health-ClosedPRs0005,71,0,0,0,0
Health-ClosedPRs0006,86,32,31,77,4
Health-ClosedPRs0007,66,15,30,15,16
Health-ClosedPRs0008,100,100,100,100,100
Health-ClosedPRs0009,80,34,36,36,18
Health-ClosedPRs0010,97,84,91,91,76
Health-ClosedPRs0011,82,0,0,0,0
Health-Commits0000,59,54,59,0,59
Health-Commits0001,66,0,0,0,0
Health-Commits0002,66,100,100,97,53
Health-Commits0003,60,10,23,15,9
Health-Commits0004,0,0,0,0,0
Health-Commits0005,63,48,11,73,13
Health-Commits0006,35,0,0,0,0
Health-Commits0007,55,28,65,30,68
Health-Commits0008,9,26,5,29,37
Health-Commits0009,0,0,2,0,2
Health-Commits0010,73,1,0,0,2
Health-Commits0011,66,0,1,0,1
LLVM,54,3,12,0,12
Life_Expectancy_Data,15,0,0,0,0
Loan,100,96,89,90,91
Marketing_Analytics,100,100,100,98,100
Medical_Data_and_Hospital_Readmissions,0,0,0,0,0
PostgreSQL,0,0,0,0,0
SQL_AllMeasurements,0,0,2,0,0
SS-A,0,0,0,0,0
SS-B,88,73,72,66,78
SS-C,3,0,0,0,0
SS-D,55,50,22,65,25
SS-E,30,29,29,30,29
SS-F,45,48,29,45,30
SS-G,58,46,27,39,26
SS-H,100,100,78,84,78
SS-I,53,2,49,6,34
SS-J,65,58,63,58,17
SS-K,39,14,20,11,6
SS-L,85,44,56,44,33
SS-M,8,0,20,0,20
SS-N,0,1,7,1,0
SS-O,30,4,1,1,6
SS-P,90,52,51,55,32
SS-Q,95,0,0,3,0
SS-R,84,0,0,4,0
SS-S,12,10,0,12,0
SS-T,3,0,3,0,0
SS-U,85,7,30,4,24
SS-V,69,5,27,18,9
SS-W,50,49,41,38,50
SS-X,87,1,16,0,15
Scrum100k,100,93,88,98,90
Scrum10k,100,80,74,85,67
Scrum1k,87,72,77,75,93
WA_Fn-UseC_-HR-Employee-Attrition,65,42,42,47,45
WA_Fn-UseC_-Telco-Customer-Churn,21,0,0,0,0
Wine_quality,12,24,12,11,9
X264_AllMeasurements,62,0,4,0,13
accessories,100,100,100,100,100
all_players,14,12,5,12,4
auto93,74,44,40,50,62
billing10k,100,97,76,77,88
coc1000,75,61,60,52,71
dataset120,37,24,26,0,31
dataset600,12,2,21,3,14
dconvert,0,0,0,0,0
deeparch,4,0,5,0,2
dress-up,100,100,100,100,100
exastencils,0,0,0,0,0
home_data_for_ml_course,93,91,97,100,97
javagc,0,0,0,0,0
pom3a,12,39,29,13,30
pom3b,10,27,27,26,22
pom3c,72,67,57,49,62
pom3d,5,0,3,0,3
redis,0,0,0,0,0
rs-6d-c3_obj1,15,0,5,0,0
rs-6d-c3_obj2,0,0,0,0,0
socks,38,7,14,10,10
sol-6d-c2-obj1,0,1,4,5,6
storm,0,1,0,2,0
student_dropout,96,89,85,86,73
wallpaper,100,43,100,97,100
wc+rs-3d-c4-obj1,0,17,9,7,32
wc+sol-3d-c4-obj1,51,30,68,44,78
wc+wc-3d-c4-obj1,5,17,50,26,46
wc-6d-c1-obj1,1,0,3,0,0
x264,0,0,0,0,0
xomo_flight,0,0,1,0,2
xomo_ground,1,0,6,2,1
xomo_osp,2,0,0,0,3
xomo_osp2,2,4,5,4,10
