dataset,near,xploit,xplor,bore,random
Car_price_cleaned,27.06,47.29,46.37,48.64,30.59
Wine_quality,34.16,37.9,46.62,45.49,44.68
auto93,17.1,21.16,20.04,18.46,21.21
