trt, performance_error, stability_aggreement, best_performance, best_stability
1, 0.00, 87, 1, 54
3, 0.32, 85, 1, 31
5, 0.50, 85, 1, 48
7, 5.87, 88, 1, 33
9, 13.08, 88, 0, 28
