trt, performance_error, stability_aggreement, best_performance, best_stability
1, 5.35, 27, 1, 9
3, 4.85, 27, 1, 1
5, 5.68, 27, 1, 2
7, 6.16, 53, 1, 59
9, 5.85, 13, 1, 30
