trt, performance_error, stability_aggreement, best_performance, best_stability
1, 64.93, 0, 1, 14
3, 66.12, 0, 1, 13
5, 65.14, 0, 1, 28
7, 67.88, 0, 1, 17
9, 66.27, 0, 1, 34
