trt, performance_error, stability_aggreement, best_performance, best_stability
1, 4.23, 20, 1, 8
3, 5.22, 13, 1, 1
5, 5.90, 13, 1, 15
7, 5.17, 13, 1, 14
9, 4.50, 29, 1, 62
