trt, performance_error, stability_aggreement, best_performance, best_stability
1, 2.44, 57, 1, 28
3, 3.22, 73, 1, 20
5, 3.61, 66, 1, 11
7, 5.26, 58, 0, 16
9, 16.36, 61, 0, 25
