trt, performance_error, stability_aggreement, best_performance, best_stability
1, 9.98, 12, 1, 78
3, 12.40, 25, 1, 77
5, 12.87, 41, 1, 77
7, 11.17, 45, 1, 80
9, 14.42, 58, 1, 92
