trt, performance_error, stability_aggreement, best_performance, best_stability
1, 0.00, 92, 1, 98
3, 0.00, 92, 1, 98
5, 0.00, 89, 1, 68
7, 0.00, 58, 1, 59
9, 0.00, 57, 1, 57
