trt, performance_error, stability_aggreement, best_performance, best_stability
1, 17.17, 27, 1, 14
3, 17.76, 30, 1, 4
5, 15.76, 30, 1, 10
7, 17.43, 30, 1, 41
9, 19.94, 42, 1, 31
