trt, performance_error, stability_aggreement, best_performance, best_stability
1, 18.88, 0, 1, 17
3, 19.37, 5, 1, 7
5, 19.26, 6, 0, 24
7, 23.50, 0, 0, 0
9, 25.38, 0, 0, 52
