trt, performance_error, stability_aggreement, best_performance, best_stability
1, 2.92, 72, 1, 12
3, 2.61, 88, 1, 45
5, 2.97, 76, 1, 10
7, 2.77, 68, 1, 26
9, 3.47, 67, 1, 8
