trt, performance_error, stability_aggreement, best_performance, best_stability
1, 32.21, 4, 1, 10
3, 40.68, 14, 0, 19
5, 37.43, 10, 0, 38
7, 40.15, 15, 0, 30
9, 42.24, 0, 0, 3
