trt, performance_error, stability_aggreement, best_performance, best_stability
1, 4.97, 41, 1, 22
3, 5.09, 57, 1, 33
5, 4.93, 45, 1, 16
7, 20.41, 52, 1, 9
9, 20.24, 15, 1, 20
