trt, performance_error, stability_aggreement, best_performance, best_stability
1, 26.87, 0, 1, 1
3, 33.43, 0, 0, 14
5, 30.89, 0, 0, 28
7, 36.73, 0, 0, 23
9, 41.70, 0, 0, 34
