trt, performance_error, stability_aggreement, best_performance, best_stability
1, 20.81, 90, 1, 48
3, 0.63, 56, 1, 13
5, 0.63, 56, 1, 23
7, 0.71, 65, 1, 17
9, 0.67, 58, 1, 0
