trt, performance_error, stability_aggreement, best_performance, best_stability
1, 51.77, 43, 1, 57
3, 51.43, 29, 1, 48
5, 59.91, 37, 1, 50
7, 59.76, 41, 1, 47
9, 51.03, 18, 1, 38
