trt, performance_error, stability_aggreement, best_performance, best_stability
1, 25.13, 0, 1, 3
3, 27.03, 0, 1, 3
5, 27.72, 0, 1, 7
7, 26.47, 0, 1, 17
9, 27.94, 0, 1, 70
