trt, performance_error, stability_aggreement, best_performance, best_stability
1, 8.40, 23, 1, 15
3, 12.00, 38, 1, 32
5, 13.61, 24, 1, 12
7, 14.46, 24, 1, 11
9, 14.70, 1, 1, 30
