trt, performance_error, stability_aggreement, best_performance, best_stability
1, 1.18, 80, 1, 54
3, 3.41, 73, 1, 29
5, 4.02, 40, 1, 1
7, 4.34, 2, 1, 1
9, 8.98, 3, 0, 15
