trt, performance_error, stability_aggreement, best_performance, best_stability
1, 12.34, 17, 1, 57
3, 20.63, 8, 0, 51
5, 27.21, 0, 0, 48
7, 31.22, 0, 0, 51
9, 29.29, 10, 0, 61
