dataset,ezr,causal_ezr,adaptive_causal_ezr
7z,36,42,65
A2C_Acrobot,3,82,94
A2C_CartPole,33,67,67
Apache_AllMeasurements,65,31,30
BDBC,29,58,62
BankChurners,23,39,74
Car_price_cleaned,0,99,100
Data_COVID19_Indonesia,61,39,39
FFM-1000-200-0,55,39,48
FFM-125-25-0,77,10,20
FFM-250-50-0,57,42,33
FFM-500-100-0,45,50,56
FM-500-100-0,52,29,40
FM-500-100-1,44,53,51
HSMGP_num,71,29,22
HSQLDB,85,30,0
Health-ClosedIssues0000,43,57,57
Health-ClosedIssues0001,1,99,99
Health-ClosedIssues0002,42,71,71
Health-ClosedIssues0003,11,89,89
Health-ClosedIssues0004,21,79,79
Health-ClosedIssues0005,49,51,51
Health-ClosedIssues0006,24,76,76
Health-ClosedIssues0007,22,78,78
Health-ClosedIssues0008,57,43,43
Health-ClosedIssues0009,37,63,63
Health-ClosedIssues0010,39,61,61
Health-ClosedIssues0011,13,87,87
Health-ClosedPRs0000,100,100,100
Health-ClosedPRs0002,28,72,72
Health-ClosedPRs0003,46,54,54
Health-ClosedPRs0004,28,72,72
Health-ClosedPRs0005,26,74,74
Health-ClosedPRs0006,51,49,49
Health-ClosedPRs0007,24,76,76
Health-ClosedPRs0008,29,71,71
Health-ClosedPRs0009,50,50,50
Health-ClosedPRs0010,43,57,57
Health-ClosedPRs0011,56,70,70
Health-Commits0000,46,54,54
Health-Commits0001,36,64,64
Health-Commits0002,38,62,62
Health-Commits0003,66,34,34
Health-Commits0004,54,46,46
Health-Commits0005,19,81,81
Health-Commits0006,82,18,18
Health-Commits0007,49,51,51
Health-Commits0008,23,77,77
Health-Commits0009,81,19,19
Health-Commits0010,15,85,85
Health-Commits0011,38,62,62
LLVM,85,12,15
Life_Expectancy_Data,0,99,100
Loan,0,100,100
Marketing_Analytics,27,50,70
Medical_Data_and_Hospital_Readmissions,1,20,99
PostgreSQL,14,70,84
SQL_AllMeasurements,23,7,79
SS-A,57,43,43
SS-B,48,52,52
SS-C,50,50,50
SS-D,33,65,65
SS-E,50,50,50
SS-F,31,67,67
SS-G,27,71,71
SS-H,89,12,10
SS-I,44,56,56
SS-J,89,11,11
SS-K,55,45,45
SS-L,49,44,50
SS-M,95,8,0
SS-N,59,13,41
SS-O,62,38,38
SS-P,75,19,26
SS-Q,40,53,46
SS-R,63,24,34
SS-S,57,42,42
SS-T,55,45,45
SS-U,70,31,26
SS-V,73,19,20
SS-W,35,65,65
SS-X,94,5,7
Scrum100k,29,32,63
Scrum10k,24,39,68
Scrum1k,32,24,60
WA_Fn-UseC_-HR-Employee-Attrition,23,69,71
WA_Fn-UseC_-Telco-Customer-Churn,5,95,95
Wine_quality,2,98,98
X264_AllMeasurements,30,60,60
accessories,10,89,90
all_players,0,100,100
auto93,24,76,76
billing10k,55,42,41
coc1000,3,97,97
dataset120,31,65,69
dataset600,15,69,77
dconvert,73,13,28
deeparch,38,53,61
dress-up,0,99,100
exastencils,30,32,72
home_data_for_ml_course,0,99,100
javagc,19,65,75
nasa93dem,13,34,34
player_statistics_cleaned_final,28,12,10
pom3a,11,89,89
pom3b,17,83,83
pom3c,21,79,79
pom3d,3,97,97
redis,4,96,96
rs-6d-c3_obj1,80,19,18
rs-6d-c3_obj2,75,25,24
socks,17,83,67
sol-6d-c2-obj1,28,48,69
storm,50,49,52
student_dropout,100,76,55
wallpaper,16,84,84
wc+rs-3d-c4-obj1,41,57,57
wc+sol-3d-c4-obj1,60,38,38
wc+wc-3d-c4-obj1,53,45,45
wc-6d-c1-obj1,56,44,44
x264,78,18,18
xomo_flight,8,92,92
xomo_ground,1,99,99
xomo_osp,3,97,97
xomo_osp2,4,96,96
