dataset,ezr,causal_ezr,adaptive_causal_ezr
7z,42,32,32
A2C_Acrobot,0,0,0
A2C_CartPole,0,9,9
Apache_AllMeasurements,87,64,64
BDBC,53,50,50
BankChurners,20,32,37
Car_price_cleaned,5,99,100
Data_COVID19_Indonesia,43,0,0
FFM-1000-200-0,0,0,0
FFM-125-25-0,0,0,0
FFM-250-50-0,0,0,0
FFM-500-100-0,0,0,0
FM-500-100-0,0,0,0
FM-500-100-1,0,0,0
HSMGP_num,61,49,52
HSQLDB,85,75,75
Health-ClosedIssues0000,63,65,65
Health-ClosedIssues0001,4,34,34
Health-ClosedIssues0002,66,66,66
Health-ClosedIssues0003,0,0,0
Health-ClosedIssues0004,0,0,0
Health-ClosedIssues0005,60,75,75
Health-ClosedIssues0006,0,0,0
Health-ClosedIssues0007,0,0,0
Health-ClosedIssues0008,0,0,0
Health-ClosedIssues0009,0,0,0
Health-ClosedIssues0010,0,0,0
Health-ClosedIssues0011,66,67,67
Health-ClosedPRs0000,100,100,100
Health-ClosedPRs0002,66,66,66
Health-ClosedPRs0003,100,100,100
Health-ClosedPRs0004,72,69,69
Health-ClosedPRs0005,85,91,91
Health-ClosedPRs0006,1,0,0
Health-ClosedPRs0007,0,0,0
Health-ClosedPRs0008,0,0,0
Health-ClosedPRs0009,0,1,1
Health-ClosedPRs0010,0,0,0
Health-ClosedPRs0011,100,100,100
Health-Commits0000,73,74,74
Health-Commits0001,99,100,100
Health-Commits0002,66,64,64
Health-Commits0003,0,0,0
Health-Commits0004,0,0,0
Health-Commits0005,24,28,28
Health-Commits0006,61,33,33
Health-Commits0007,38,33,33
Health-Commits0008,0,0,0
Health-Commits0009,0,0,0
Health-Commits0010,8,13,13
Health-Commits0011,66,66,66
LLVM,27,13,13
Life_Expectancy_Data,0,0,0
Loan,0,0,0
Marketing_Analytics,0,0,0
Medical_Data_and_Hospital_Readmissions,0,0,0
PostgreSQL,37,43,43
SQL_AllMeasurements,0,0,0
SS-A,28,25,25
SS-B,60,60,60
SS-C,18,18,18
SS-D,5,3,3
SS-E,7,0,0
SS-F,2,13,13
SS-G,7,23,23
SS-H,87,51,52
SS-I,0,0,0
SS-J,38,0,0
SS-K,24,0,0
SS-L,89,71,70
SS-M,84,75,75
SS-N,0,0,0
SS-O,0,0,0
SS-P,72,63,63
SS-Q,55,67,63
SS-R,32,13,16
SS-S,40,29,29
SS-T,3,2,2
SS-U,43,26,26
SS-V,49,24,19
SS-W,0,0,0
SS-X,18,1,2
Scrum100k,0,0,0
Scrum10k,0,0,0
Scrum1k,0,0,0
WA_Fn-UseC_-HR-Employee-Attrition,0,0,0
WA_Fn-UseC_-Telco-Customer-Churn,32,100,100
Wine_quality,0,0,0
X264_AllMeasurements,50,66,65
accessories,0,0,0
all_players,0,100,100
auto93,12,45,45
billing10k,0,0,0
coc1000,0,3,3
dataset120,18,13,13
dataset600,4,0,0
dconvert,32,8,6
deeparch,36,48,47
dress-up,0,0,0
exastencils,1,0,0
home_data_for_ml_course,0,0,0
javagc,0,0,0
nasa93dem,61,82,82
player_statistics_cleaned_final,43,17,17
pom3a,0,0,0
pom3b,0,0,0
pom3c,0,0,0
pom3d,0,0,0
redis,0,0,0
rs-6d-c3_obj1,57,14,15
rs-6d-c3_obj2,41,32,32
socks,20,24,24
sol-6d-c2-obj1,31,13,13
storm,15,15,15
student_dropout,100,80,81
wallpaper,26,100,100
wc+rs-3d-c4-obj1,36,42,42
wc+sol-3d-c4-obj1,35,24,24
wc+wc-3d-c4-obj1,41,18,18
wc-6d-c1-obj1,4,0,0
x264,0,0,0
xomo_flight,0,0,0
xomo_ground,0,0,0
xomo_osp,0,0,0
xomo_osp2,0,0,0
