leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 0.84, 57, 1, 81
3, causal_ezr, 0.55, 14, 1, 19
5, ezr, 0.84, 49, 1, 67
5, causal_ezr, 1.20, 16, 1, 33
7, ezr, 0.92, 47, 1, 58
7, causal_ezr, 0.67, 20, 1, 42
9, ezr, 0.81, 8, 1, 26
9, causal_ezr, 1.14, 30, 1, 74
