leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 21.51, 73, 1, 46
3, causal_ezr, 25.09, 74, 1, 54
5, ezr, 25.17, 82, 1, 35
5, causal_ezr, 25.80, 69, 1, 65
7, ezr, 24.08, 88, 1, 29
7, causal_ezr, 24.42, 64, 1, 71
9, ezr, 25.90, 89, 1, 78
9, causal_ezr, 26.97, 19, 1, 22
