leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 5.09, 43, 1, 69
3, causal_ezr, 5.40, 26, 1, 31
5, ezr, 4.93, 35, 1, 73
5, causal_ezr, 5.23, 29, 1, 27
7, ezr, 20.41, 30, 1, 74
7, causal_ezr, 5.23, 29, 1, 26
9, ezr, 20.24, 23, 1, 84
9, causal_ezr, 19.92, 21, 1, 16
