leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 2.61, 55, 1, 41
3, causal_ezr, 2.70, 67, 1, 59
5, ezr, 2.97, 51, 1, 37
5, causal_ezr, 6.11, 71, 1, 63
7, ezr, 2.77, 65, 1, 36
7, causal_ezr, 4.52, 75, 1, 64
9, ezr, 3.47, 54, 1, 35
9, causal_ezr, 3.64, 55, 1, 65
