leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 40.68, 18, 1, 94
3, causal_ezr, 44.70, 1, 1, 6
5, ezr, 37.43, 31, 1, 93
5, causal_ezr, 43.96, 3, 1, 7
7, ezr, 40.15, 35, 1, 93
7, causal_ezr, 47.87, 2, 0, 7
9, ezr, 42.24, 12, 1, 84
9, causal_ezr, 50.13, 0, 0, 16
