leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 4.84, 37, 1, 20
3, causal_ezr, 6.01, 43, 0, 80
5, ezr, 5.71, 35, 1, 7
5, causal_ezr, 6.11, 43, 1, 93
7, ezr, 5.91, 43, 1, 8
7, causal_ezr, 6.22, 44, 1, 92
9, ezr, 5.85, 49, 1, 20
9, causal_ezr, 6.29, 46, 1, 80
