leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 55.51, 0, 0, 35
3, causal_ezr, 48.26, 0, 1, 65
5, ezr, 50.48, 0, 1, 37
5, causal_ezr, 50.65, 0, 1, 63
7, ezr, 55.30, 0, 1, 50
7, causal_ezr, 52.05, 0, 1, 50
9, ezr, 51.26, 0, 1, 56
9, causal_ezr, 59.73, 0, 0, 44
