leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 23.41, 2, 1, 31
3, causal_ezr, 24.62, 13, 1, 67
5, ezr, 27.03, 0, 1, 16
5, causal_ezr, 21.72, 20, 1, 82
7, ezr, 28.63, 0, 1, 8
7, causal_ezr, 21.90, 26, 1, 90
9, ezr, 30.60, 0, 1, 11
9, causal_ezr, 30.30, 15, 1, 87
