leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 4.62, 42, 1, 40
3, causal_ezr, 5.50, 32, 1, 60
5, ezr, 5.84, 46, 1, 26
5, causal_ezr, 5.22, 32, 1, 74
7, ezr, 5.86, 51, 1, 36
7, causal_ezr, 5.39, 32, 1, 64
9, ezr, 5.79, 51, 1, 80
9, causal_ezr, 5.90, 32, 1, 20
