leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 3.41, 61, 1, 71
3, causal_ezr, 5.47, 49, 0, 29
5, ezr, 4.02, 13, 1, 26
5, causal_ezr, 7.14, 57, 0, 74
7, ezr, 4.34, 8, 1, 17
7, causal_ezr, 7.14, 59, 0, 83
9, ezr, 8.98, 5, 1, 3
9, causal_ezr, 7.55, 59, 1, 97
