leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 1.75, 35, 1, 60
3, causal_ezr, 6.76, 24, 0, 38
5, ezr, 2.09, 30, 1, 47
5, causal_ezr, 14.88, 10, 0, 51
7, ezr, 5.05, 14, 1, 22
7, causal_ezr, 9.58, 30, 0, 76
9, ezr, 4.99, 26, 1, 34
9, causal_ezr, 9.65, 30, 0, 64
