leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 27.10, 0, 1, 3
3, causal_ezr, 20.92, 0, 1, 97
5, ezr, 31.03, 0, 1, 3
5, causal_ezr, 22.33, 5, 1, 97
7, ezr, 27.25, 0, 1, 2
7, causal_ezr, 21.12, 11, 1, 98
9, ezr, 24.06, 0, 1, 0
9, causal_ezr, 20.07, 20, 1, 100
