leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 10.67, 3, 1, 55
3, causal_ezr, 12.35, 2, 1, 45
5, ezr, 10.37, 7, 1, 46
5, causal_ezr, 13.92, 2, 1, 54
7, ezr, 11.94, 5, 1, 47
7, causal_ezr, 14.44, 5, 1, 53
9, ezr, 12.27, 3, 1, 47
9, causal_ezr, 12.53, 3, 1, 53
