leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 1.52, 4, 1, 56
3, causal_ezr, 2.25, 0, 1, 44
5, ezr, 1.26, 5, 1, 55
5, causal_ezr, 10.68, 0, 1, 45
7, ezr, 9.93, 5, 1, 52
7, causal_ezr, 14.40, 0, 1, 48
9, ezr, 9.91, 4, 1, 42
9, causal_ezr, 14.40, 0, 1, 58
