leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 5.63, 38, 1, 89
3, causal_ezr, 16.53, 0, 0, 11
5, ezr, 9.98, 10, 1, 75
5, causal_ezr, 12.36, 1, 1, 25
7, ezr, 11.67, 16, 1, 52
7, causal_ezr, 9.59, 2, 1, 48
9, ezr, 12.11, 0, 1, 33
9, causal_ezr, 11.56, 0, 1, 67
