leaf_size, trt, performance_error, stability_agreement, best_performance, best_stability
3, ezr, 15.51, 0, 1, 8
3, causal_ezr, 18.87, 0, 0, 92
5, ezr, 15.23, 0, 1, 3
5, causal_ezr, 19.13, 0, 1, 97
7, ezr, 16.49, 0, 1, 1
7, causal_ezr, 18.05, 2, 1, 99
9, ezr, 19.67, 0, 1, 2
9, causal_ezr, 21.35, 0, 1, 98
