Performance, 31.39, [35-23-43-28-40-22-21-35-0-19-39-60-23-29-43-16-19-25-37-16]
Stability, 0, 40.02
Dataset, FM-500-100-0.50-SAT-1
Wins, 0.02, 30.97
Dist8, 0
Quant, 100, 21, 0, -21, -114
