Performance, 55.51, [38-64-39-18-59-49-59-59-67-48-29-75-45-52-58-67-67-60-65-57]
Stability, 0, 26.71
Dataset, SS-W
Wins, -0.01, 24.53
Dist8, 0
Quant, 100, 17, 0, -18, -89
