Performance, 20.96, [3-9-27-10-45-30-5-17-22-8-0-18-1-20-30-27-7-35-3-21]
Stability, 0, 28.45
Dataset, FFM-125-25-0.50-SAT-1
Wins, 0.00, 33.87
Dist8, 0
Quant, 100, 23, 0, -25, -91
