Performance, 20.56, [22-22-0-22-22-22-15-22-22-22-22-22-0-22-22-22-22-22-22-22]
Stability, 66, 2.09
Dataset, Health-ClosedIssues0002
Wins, 0.08, 54.68
Dist8, 0
Quant, 100, 78, -38, -39, -46
