Performance, 47.57, [74-24-57-27-0-37-57-71-61-31-66-40-27-52-39-42-41-0-78-21]
Stability, 0, 22.76
Dataset, home_data_for_ml_course
Wins, 0.04, 13.77
Dist8, 0
Quant, 100, 7, -1, -9, -56
