Performance, 34.44, [29-11-36-42-34-40-31-42-41-40-43-10-41-14-13-36-36-39-41-34]
Stability, 59, 16.77
Dataset, Health-ClosedIssues0005
Wins, 0.01, 48.22
Dist8, 0
Quant, 100, 55, -42, -47, -83
