Performance, 20.63, [11-0-0-44-0-18-25-20-0-16-0-51-0-19-0-11-0-0-0-42]
Stability, 8, 56.28
Dataset, SS-G
Wins, -0.11, 44.65
Dist8, 2
Quant, 100, 30, 11, -41, -156
