Performance, 67.08, [100-0-100-0-0-0-100-100-0-0-0-100-0-0-100-101-100-0-0-99]
Stability, 7, 27.14
Dataset, Health-ClosedPRs0006
Wins, 0.27, 16.36
Dist8, 2
Quant, 100, 0, -2, -3, -40
