Performance, 5.16, [7-2-9-2-4-1-3-2-9-2-7-6-4-5-9-3-6-3-3-3]
Stability, 14, 1964.88
Dataset, javagc
Wins, -0.24, 187.38
Dist8, 38
Quant, 100, 85, 68, -3, -6084
