Performance, 4.99, [1-0-0-0-0-0-0-0-2-0-0-0-0-7-0-2-0-0-21-0]
Stability, 20, 62.18
Dataset, wc+wc-3d-c4-obj1
Wins, -0.02, 67.54
Dist8, 14
Quant, 100, 34, 1, -31, -272
