Performance, 34.16, [0-43-31-47-0-0-59-18-27-68-0-0-0-0-0-56-6-40-41-52]
Stability, 0, 38.78
Dataset, Wine_quality
Wins, 0.11, 31.94
Dist8, 0
Quant, 100, 24, -5, -14, -148
