Performance, 61.73, [24-29-24-24-24-24-13-24-32-22-101-101-94-101-22-96-95-22-105-24]
Stability, 0, 9.40
Dataset, Health-ClosedPRs0008
Wins, 0.59, 16.25
Dist8, 0
Quant, 100, -1, -1, -7, -10
