Performance, 43.99, [62-75-63-20-35-8-35-17-74-26-26-21-63-30-30-38-76-26-20-27]
Stability, 0, 44.29
Dataset, x264
Wins, 0.03, 22.19
Dist8, 0
Quant, 100, 17, -4, -13, -193
