Performance, 13.55, [6-11-10-20-23-9-8-19-4-0-13-0-17-17-19-20-9-4-18-6]
Stability, 60, 5.21
Dataset, Health-ClosedIssues0000
Wins, 0.17, 26.99
Dist8, 0
Quant, 100, 9, -14, -15, -27
