Performance, 0.00, [0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0]
Stability, 100, 1.79
Dataset, Health-ClosedPRs0002
Wins, 0.33, 70.06
Dist8, 33
Quant, 100, 100, -49, -49, -54
