Performance, 0.00, [0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0]
Stability, 100, 0.00
Dataset, Health-ClosedPRs0000
Wins, 0.28, 140.97
Dist8, 66
Quant, 100, 100, 100, -199, -199
