Performance, 4.62, [8-8-0-1-1-1-0-9-0-0-0-8-0-0-0-1-0-8-2-9]
Stability, 46, 158.58
Dataset, 7z
Wins, -0.18, 138.69
Dist8, 35
Quant, 100, 85, 44, -56, -657
