Performance, 18.33, [17-16-19-25-14-14-9-18-22-19-1-11-22-24-24-25-6-30-2-15]
Stability, 66, 15.08
Dataset, Data_COVID19_Indonesia
Wins, 0.15, 16.36
Dist8, 0
Quant, 100, 3, -6, -11, -12
