Performance, 1.14, [2-1-0-1-2-1-0-0-1-2-1-2-0-1-1-0-1-1-1-0]
Stability, 52, 70.05
Dataset, BDBC
Wins, -0.25, 147.91
Dist8, 45
Quant, 100, 96, 78, -33, -389
