Performance, 26.14, [24-26-32-27-22-34-41-30-29-32-32-15-31-29-17-15-10-15-19-18]
Stability, 0, 32.95
Dataset, FFM-500-100-0.50-SAT-1
Wins, -0.01, 34.30
Dist8, 0
Quant, 100, 24, 1, -23, -125
