Performance, 47.37, [36-41-41-50-73-78-56-45-41-66-11-39-30-42-30-39-44-65-40-25]
Stability, 0, 23.57
Dataset, pom3c
Wins, 0.01, 24.27
Dist8, 0
Quant, 100, 17, 0, -18, -84
