Performance, 26.15, [38-12-22-1-35-31-29-25-25-22-26-31-17-42-12-31-12-3-37-23]
Stability, 0, 31.04
Dataset, Scrum10k
Wins, 0.03, 33.67
Dist8, 0
Quant, 100, 24, 0, -22, -120
