Performance, 1.34, [0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0-0-0-0]
Stability, 84, 24.78
Dataset, Apache_AllMeasurements
Wins, -0.14, 80.83
Dist8, 9
Quant, 100, 64, 33, -78, -206
