Performance, 41.05, [54-21-44-70-59-35-23-42-32-43-21-15-23-35-60-42-46-15-47-36]
Stability, 0, 35.24
Dataset, Marketing_Analytics
Wins, 0.04, 26.97
Dist8, 0
Quant, 100, 17, -3, -20, -62
